Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
322,UC San Diego,17,11,6,.647,3.97,-1.77,,5,0,,7,1,,4,4,,1323,1147,,67.6,114.3,.327,.429,.577,50.6,49.1,9.6,8.6,.541,12.9,28.4,.250
323,UC Santa Barbara,16,10,6,.625,-2.86,-4.00,,3,3,,7,2,,2,4,,1250,1172,,70.2,110.5,.406,.300,.595,55.0,51.7,5.8,9.2,.567,17.5,29.5,.286
324,UCLA,17,7,10,.412,4.20,4.95,,2,4,,5,4,,1,3,,1100,1084,,66.6,97.2,.365,.270,.497,51.7,50.9,9.6,11.9,.454,16.0,31.0,.259
325,UNC Asheville,19,11,8,.579,-2.38,-0.44,,3,1,,7,1,,1,5,,1548,1415,,71.9,111.8,.445,.390,.574,50.9,60.5,8.2,10.6,.531,15.2,31.6,.329
326,UNC Greensboro,17,12,5,.706,0.92,-1.35,,3,1,,7,0,,2,5,,1310,1166,,68.6,111.5,.247,.427,.569,51.5,55.5,9.9,7.5,.550,13.9,28.6,.170
327,UNC Wilmington,16,11,5,.688,0.48,0.33,,2,2,,5,0,,5,4,,1304,1158,,69.4,116.6,.368,.399,.570,49.1,42.7,9.5,6.8,.528,10.8,27.8,.283
328,UT Arlington,17,8,9,.471,-1.44,4.02,,3,3,,7,1,,0,8,,1251,1265,,71.2,103.4,.382,.448,.546,52.9,64.4,8.9,9.7,.510,19.0,34.4,.269
329,Utah,17,12,5,.706,18.81,8.81,,3,3,,9,0,,1,3,,1368,1198,,71.8,112.1,.284,.381,.568,52.4,60.3,9.8,11.4,.549,14.0,28.5,.191
330,Utah State,18,16,2,.889,13.89,3.64,,4,1,,8,0,,4,2,,1478,1230,,70.5,115.6,.380,.315,.580,55.0,58.1,10.6,11.8,.548,13.9,32.9,.273
331,Utah Tech,16,7,9,.438,-6.62,-0.02,,3,2,,3,3,,4,6,,1121,1208,,71.3,96.7,.383,.349,.532,47.8,52.4,9.2,12.4,.504,19.2,27.0,.249
332,Utah Valley,17,8,9,.471,-2.90,1.37,,3,3,,6,1,,1,7,,1162,1183,,69.3,97.9,.400,.314,.506,49.8,59.4,10.3,10.2,.460,15.3,27.0,.285
333,UTEP,17,9,8,.529,-4.35,-1.49,,0,2,,8,2,,0,5,,1269,1181,,72.4,103.0,.473,.316,.551,49.8,54.1,15.8,9.2,.512,18.3,31.1,.324
334,UTSA,17,7,10,.412,-7.34,-4.28,,1,3,,5,4,,2,6,,1347,1363,,72.2,107.4,.337,.452,.531,50.6,53.6,7.2,11.2,.496,13.8,31.7,.239
335,Valparaiso,17,5,12,.294,-7.38,-0.20,,1,5,,4,6,,1,6,,1131,1207,,69.0,96.4,.278,.358,.492,47.1,49.9,9.1,10.0,.458,15.0,27.8,.198
