Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
319,UC Davis,13,7,6,.538,-2.34,-4.07,,2,0,,5,3,,1,3,,937,860,,520,300,667,.450,71,221,.321,189,271,.697,108,396,136,83,32,212,241
320,UC Irvine,14,9,5,.643,9.40,1.93,,2,0,,4,0,,2,5,,1099,942,,560,328,808,.406,84,258,.326,202,278,.727,134,447,165,80,46,174,244
321,UC Riverside,14,6,8,.429,-4.58,2.34,,1,1,,5,1,,0,7,,975,1005,,561,357,786,.454,101,261,.387,190,257,.739,114,494,201,64,50,152,226
322,UC San Diego,13,7,6,.538,2.27,0.27,,1,0,,6,1,,1,4,,994,882,,525,327,787,.416,95,296,.321,133,193,.689,149,466,168,60,51,164,227
323,UC Santa Barbara,12,7,5,.583,-2.85,-3.15,,0,2,,5,1,,1,4,,966,901,,480,345,761,.453,84,259,.324,127,194,.655,99,365,148,86,29,112,233
324,UCLA,14,6,8,.429,5.77,3.39,,1,2,,4,3,,1,2,,926,867,,560,287,735,.390,106,338,.314,187,264,.708,121,435,139,88,33,179,284
325,UNC Asheville,16,9,7,.563,-3.23,-0.61,,1,0,,6,1,,0,4,,1320,1190,,650,426,992,.429,105,359,.292,233,323,.721,186,559,204,100,55,217,334
326,UNC Greensboro,14,10,4,.714,-1.07,-1.99,,1,0,,6,0,,1,4,,1100,979,,565,328,842,.390,119,381,.312,204,283,.721,154,500,166,72,47,153,220
327,UNC Wilmington,12,9,3,.750,0.90,0.68,,,,,3,0,,5,2,,1029,883,,485,317,702,.452,85,254,.335,164,237,.692,124,433,153,52,34,160,249
328,UT Arlington,13,6,7,.462,-2.03,5.25,,1,1,,5,1,,0,6,,939,951,,520,332,771,.431,100,274,.365,187,259,.722,134,437,188,100,52,158,227
329,Utah,13,11,2,.846,21.02,8.63,,2,0,,8,0,,1,0,,1062,901,,520,335,831,.403,106,323,.328,125,196,.638,145,464,177,73,30,148,236
330,Utah State,14,13,1,.929,14.00,1.75,,1,0,,6,0,,3,1,,1145,914,,565,330,791,.417,77,286,.269,177,250,.708,116,433,151,91,31,201,261
331,Utah Tech,13,6,7,.462,-7.45,-1.03,,2,0,,2,2,,4,5,,928,993,,530,339,782,.434,106,305,.348,209,313,.668,160,487,180,105,50,178,242
332,Utah Valley,13,6,7,.462,-2.57,3.53,,1,1,,4,1,,1,5,,880,904,,525,327,734,.446,82,246,.333,168,243,.691,118,469,178,80,46,174,243
333,UTEP,14,8,6,.571,-2.72,0.10,,,,,7,2,,0,3,,1074,977,,560,317,739,.429,82,262,.313,261,357,.731,138,476,146,101,35,255,294
334,UTSA,14,6,8,.429,-9.51,-6.28,,0,1,,5,3,,1,5,,1099,1108,,565,389,905,.430,107,310,.345,223,318,.701,174,564,202,82,68,146,262
335,Valparaiso,14,4,10,.286,-10.14,-1.75,,0,3,,4,5,,0,5,,940,1010,,560,372,833,.447,100,297,.337,166,244,.680,169,562,199,101,43,197,223
336,Vanderbilt,13,5,8,.385,-3.40,-0.86,,,,,5,4,,0,1,,890,923,,520,325,743,.437,103,267,.386,170,219,.776,109,460,162,75,37,145,239
337,Vermont,15,10,5,.667,1.29,-0.56,,,,,5,1,,3,3,,1098,974,,600,353,850,.415,101,299,.338,167,236,.708,139,496,148,73,32,140,218
