Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
73,Drake,0.824,9.34,-0.47,0.0349999999999999,39,-0.001,0.063,10,0,0,0,0,0,0,0,0.8333333333333334,1.0,0.5,0.7647058823529411,2.2941176470588234,3.823529411764706,4.0,2.0,1.1764705882352942,0.5294117647058824,1.8823529411764706,5.882352941176471,1.3529411764705883,-0.47058823529411764,-4.117647058823529,-0.23529411764705882
74,Drexel,0.667,2.74,-4.15,0.075,-51,0.022,0.007,10,0,0,0,0,0,0,0,1.0,0.8571428571428571,0.5,-0.4444444444444444,-2.8333333333333335,4.666666666666667,0.6111111111111112,1.3888888888888888,1.7777777777777777,2.888888888888889,9.944444444444445,1.3333333333333333,-0.4444444444444444,1.4444444444444444,1.8333333333333333,-1.0555555555555556
75,Duke,0.813,20.24,4.3,0.0569999999999999,2,0.0419999999999999,0.053,15,0,0,1,0,0,1,5,0.8,0.9,0.5,0.9375,0.125,4.8125,3.3125,5.375,6.125,1.625,4.25,3.9375,2.0625,-0.8125,-4.125,-2.3125
76,Duquesne,0.563,6.12,3.99,0.001,82,-0.0109999999999999,0.002,5,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.25,1.5,5.125,1.625,3.5625,0.25,0.3125,1.875,2.0,0.5,2.0,0.3125,-2.3125,0.5625
77,East Carolina,0.529,-0.34,-1.21,-0.002,-60,-0.006,-0.036,2,0,0,0,0,0,0,0,0.5,0.6153846153846154,0.3333333333333333,-1.2352941176470589,-3.5294117647058822,0.5882352941176471,1.588235294117647,2.6470588235294117,4.705882352941177,1.7058823529411764,1.588235294117647,-0.8235294117647058,2.176470588235294,-0.8823529411764706,-2.2941176470588234,-1.6470588235294117
78,East Tennessee State,0.529,-4.76,-1.56,-0.0159999999999999,87,-0.017,0.022,1,0,0,0,0,0,0,0,0.25,0.8571428571428571,0.2222222222222222,1.1176470588235294,5.117647058823529,0.4117647058823529,3.3529411764705883,-0.11764705882352941,-0.8235294117647058,1.2941176470588236,-0.47058823529411764,-0.29411764705882354,1.0588235294117647,1.2352941176470589,-1.6470588235294117,1.7647058823529411
79,Eastern Illinois,0.444,-10.83,-1.9,-0.014,-69,-0.0239999999999999,0.001,2,0,0,0,0,0,0,0,0.4,0.625,0.2222222222222222,-1.7777777777777777,-3.8333333333333335,3.3333333333333335,9.277777777777779,-2.111111111111111,-2.9444444444444446,4.0,2.5,0.05555555555555555,2.3333333333333335,-1.9444444444444444,-3.888888888888889,3.388888888888889
80,Eastern Kentucky,0.471,-5.5,0.07,0.025,5,-0.0409999999999999,-0.0269999999999999,4,0,0,0,0,0,0,0,1.0,0.6666666666666666,0.25,-0.8823529411764706,0.29411764705882354,2.823529411764706,2.6470588235294117,0.0,0.7647058823529411,2.4705882352941178,4.9411764705882355,1.6470588235294117,-0.23529411764705882,3.823529411764706,-0.47058823529411764,1.2941176470588236
81,Eastern Michigan,0.471,-13.42,-4.42,-0.019,-83,-0.027,-0.013,-7,0,0,0,0,0,0,0,0.2,0.6666666666666666,0.2857142857142857,-2.1176470588235294,-4.882352941176471,-1.5294117647058822,-1.0588235294117647,-1.7058823529411764,-2.1176470588235294,-0.4117647058823529,-1.2941176470588236,-2.5294117647058822,-1.2352941176470589,-0.4117647058823529,1.3529411764705883,0.5294117647058824
82,Eastern Washington,0.563,1.43,2.21,0.06,60,0.0429999999999999,0.006,6,0,0,0,0,0,0,0,1.0,1.0,0.36363636363636365,2.375,3.75,3.0,-1.0625,-1.5625,-2.3125,-1.5,0.75,5.1875,0.125,0.6875,0.25,1.125
83,Elon,0.471,-10.29,-4.75,0.005,11,0.0299999999999999,-0.006,1,0,0,0,0,0,0,0,0.25,0.8571428571428571,0.0,0.9411764705882353,0.6470588235294118,0.35294117647058826,0.11764705882352941,-0.35294117647058826,-0.35294117647058826,0.23529411764705882,1.2941176470588236,0.23529411764705882,0.7647058823529411,-0.058823529411764705,0.7058823529411765,0.7058823529411765
84,Evansville,0.588,-2.4,-0.78,0.03,-104,-0.0079999999999999,-0.007,2,0,0,0,0,0,0,0,0.16666666666666666,0.75,0.375,-2.2941176470588234,-6.117647058823529,1.9411764705882353,0.29411764705882354,1.0,1.588235294117647,-0.35294117647058826,0.23529411764705882,1.2352941176470589,0.29411764705882354,0.5294117647058824,-1.3529411764705883,-1.5294117647058822
85,Fairfield,0.588,-3.59,-5.97,0.012,75,0.0339999999999999,0.079,5,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,0.6,2.2941176470588234,4.411764705882353,0.47058823529411764,-0.5294117647058824,1.7647058823529411,0.6470588235294118,-1.8823529411764706,-1.7058823529411764,1.1176470588235294,1.5294117647058822,-0.29411764705882354,-1.8823529411764706,-0.7647058823529411
86,Fairleigh Dickinson,0.421,-14.35,-6.88,-0.02,12,-0.0159999999999999,0.012,-2,0,0,0,0,0,0,0,0.5,0.5,0.4,-0.21052631578947367,0.631578947368421,-1.0,0.631578947368421,0.8947368421052632,0.8947368421052632,-0.2631578947368421,-2.0,-0.5789473684210527,0.9473684210526315,-0.631578947368421,-1.1578947368421053,-0.2631578947368421
87,Florida,0.647,13.86,5.22,0.028,46,-0.012,-0.0299999999999999,8,0,0,0,1,0,0,2,0.25,0.875,0.0,0.6470588235294118,2.7058823529411766,2.823529411764706,2.235294117647059,2.3529411764705883,4.470588235294118,5.588235294117647,10.0,3.9411764705882355,-1.4705882352941178,0.8235294117647058,1.588235294117647,-1.588235294117647
88,Florida A&M,0.143,-15.45,6.22,-0.0519999999999999,-99,-0.039,0.018,-17,0,0,0,0,0,0,0,0.0,0.2,0.125,-3.4285714285714284,-7.071428571428571,-3.0714285714285716,-0.07142857142857142,-7.357142857142857,-11.5,-1.4285714285714286,-3.5714285714285716,-1.0714285714285714,-2.7857142857142856,-1.2857142857142858,3.857142857142857,6.0
89,Florida Atlantic,0.765,16.56,5.21,0.063,28,0.0289999999999999,-0.026,11,0,0,0,0,0,0,0,0.75,0.8571428571428571,0.3333333333333333,1.2352941176470589,1.6470588235294117,3.764705882352941,-0.11764705882352941,2.588235294117647,4.294117647058823,0.5294117647058824,4.470588235294118,4.764705882352941,1.4705882352941178,0.058823529411764705,-0.7647058823529411,-1.3529411764705883
