Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Ed DeChellis,Navy,Patriot,,6,9,0.4,,,,,2011-12,174,202,0.463,,,,,,393,433,0.476,2.0,,,
Travis DeCuire,Montana,Big Sky,,11,6,0.647,,,,,2014-15,188,118,0.614,2.0,,,,,188,118,0.614,2.0,,,
Darian DeVries,Drake,MVC,,14,3,0.824,,,,,2018-19,136,51,0.727,2.0,,,,,136,51,0.727,2.0,,,
Dave Dickerson,South Carolina Upstate,Big South,,5,11,0.312,,,,,2018-19,60,108,0.357,,,,,,128,192,0.4,,,,
Jamie Dixon,TCU,Big 12,,13,4,0.765,,,,,2016-17,152,101,0.601,3.0,,,,,480,224,0.682,14.0,3.0,,
Steve Donahue,Pennsylvania,Ivy,,9,8,0.529,,,,,2015-16,121,101,0.545,1.0,,,,,321,315,0.505,4.0,1.0,,
Bryce Drew,Grand Canyon,WAC,,16,1,0.941,,,,,2020-21,80,28,0.741,2.0,,,,,244,136,0.642,5.0,,,
Scott Drew,Baylor,Big 12,,14,3,0.824,20.0,,,,2003-04,436,236,0.649,11.0,5.0,1.0,1.0,,456,247,0.649,11.0,5.0,1.0,1.0
Matthew Driscoll,North Florida,A-Sun,,9,9,0.5,,,,,2009-10,226,240,0.485,1.0,,,,,226,240,0.485,1.0,,,
Eric Duft,Weber State,Big Sky,,11,6,0.647,,,,,2022-23,29,21,0.58,,,,,,29,21,0.58,,,,
John Dunne,Marist,MAAC,,8,6,0.571,,,,,2018-19,66,93,0.415,,,,,,219,318,0.408,1.0,,,
Fran Dunphy,La Salle,A-10,,10,8,0.556,,,,,2022-23,25,27,0.481,,,,,,605,352,0.632,17.0,,,
Pat Duquette,Massachusetts-Lowell,AEC,,12,4,0.75,,,,,2013-14,148,167,0.47,,,,,,148,167,0.47,,,,
Brian Dutcher,San Diego State,MWC,,14,3,0.824,17.0,,,,2017-18,165,50,0.767,4.0,1.0,1.0,,,165,50,0.767,4.0,1.0,1.0,
Brian Earl,Cornell,Ivy,,12,3,0.8,,,,,2016-17,86,98,0.467,,,,,,86,98,0.467,,,,
Dan Earl,Chattanooga,Southern,,10,7,0.588,,,,,2022-23,28,24,0.538,,,,,,101,163,0.383,,,,
Josh Eilert,West Virginia,Big 12,,6,10,0.375,,,,,2023-24,6,10,0.375,,,,,,6,10,0.375,,,,
Cliff Ellis,Coastal Carolina,Sun Belt,,3,5,0.375,,,,,2007-08,297,228,0.566,2.0,,,,,833,566,0.595,10.0,3.0,,
Andy Enfield,Southern California,Pac-12,,8,9,0.471,21.0,,,,2013-14,213,138,0.607,5.0,1.0,,,,254,166,0.605,6.0,2.0,,
Dan Engelstad,Mount St. Mary's,MAAC,,6,10,0.375,,,,,2018-19,65,100,0.394,1.0,,,,,65,100,0.394,1.0,,,
Jim Engles,Columbia,Ivy,,9,6,0.6,,,,,2016-17,55,127,0.302,,,,,,166,266,0.384,,,,
Kim English,Providence,Big East,,11,6,0.647,,,,,2023-24,11,6,0.647,,,,,,45,35,0.562,,,,
Aaron Fearne,Charlotte,AAC,,10,7,0.588,,,,,2023-24,10,7,0.588,,,,,,10,7,0.588,,,,
Quinton Ferrell,Presbyterian,Big South,,9,10,0.474,,,,,2019-20,43,94,0.314,,,,,,43,94,0.314,,,,
Jim Ferry,Maryland-Baltimore County,AEC,,5,13,0.278,,,,,2021-22,41,41,0.5,,,,,,262,301,0.465,2.0,,,
Mark Few,Gonzaga,WCC,,11,5,0.688,11.0,,,,1999-00,700,140,0.833,23.0,12.0,2.0,,,700,140,0.833,23.0,12.0,2.0,
Matt Figger,Texas-Rio Grande Valley,WAC,,6,11,0.353,,,,,2021-22,29,51,0.362,,,,,,105,102,0.507,,,,
Dane Fischer,William & Mary,CAA,,7,10,0.412,,,,,2019-20,53,78,0.405,,,,,,53,78,0.405,,,,
Adam Fisher,Temple,AAC,,8,10,0.444,,,,,2023-24,8,10,0.444,,,,,,8,10,0.444,,,,
Steve Forbes,Wake Forest,ACC,,12,5,0.706,,,,,2020-21,62,45,0.579,,,,,,192,88,0.686,1.0,,,
Dana Ford,Missouri State,MVC,,10,8,0.556,,,,,2018-19,99,74,0.572,,,,,,156,139,0.529,,,,
Geno Ford,Stony Brook,CAA,,9,8,0.529,,,,,2019-20,67,70,0.489,,,,,,181,193,0.484,,,,
