Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
54,Cleveland State,15,10,5,.667,-0.41,-3.12,,3,1,,8,0,,2,5,,1151,1052,,69.8,100.5,.364,.370,.520,50.9,52.4,9.5,7.8,.498,18.7,37.0,.224
55,Coastal Carolina,12,3,9,.250,-9.35,-3.35,,0,1,,3,8,,0,1,,952,946,,71.9,108.5,.302,.502,.518,47.3,55.6,10.3,7.5,.486,12.2,33.3,.212
56,Colgate,14,7,7,.500,0.27,2.58,,1,0,,4,1,,1,5,,978,930,,67.6,98.3,.249,.408,.513,48.1,56.1,8.8,7.8,.490,15.4,24.4,.168
57,College of Charleston,13,9,4,.692,3.28,2.03,,,,,6,0,,2,1,,1021,969,,72.9,102.3,.288,.373,.533,48.3,43.6,9.6,11.0,.501,15.7,26.8,.209
58,Colorado,13,11,2,.846,18.27,2.89,,2,0,,9,0,,0,1,,1095,895,,71.0,96.0,.299,.361,.516,41.6,40.0,11.3,7.3,.480,16.5,22.2,.220
59,Colorado State,14,13,1,.929,19.41,7.33,,1,0,,8,1,,2,0,,1177,955,,69.5,98.0,.268,.361,.525,48.6,44.9,7.7,7.0,.494,17.1,25.7,.195
60,Columbia,12,8,4,.667,-4.58,-6.68,,,,,6,1,,2,3,,943,827,,71.3,96.6,.259,.449,.504,48.4,53.9,9.0,11.5,.473,17.0,28.7,.188
61,Connecticut,14,12,2,.857,19.42,-0.08,,2,1,,8,0,,0,2,,1164,891,,67.3,94.5,.334,.302,.488,42.4,46.8,8.5,8.2,.452,14.9,25.4,.226
62,Coppin State,14,1,13,.071,-21.38,-2.45,,,,,1,2,,0,10,,761,1026,,67.9,108.0,.334,.414,.558,57.6,61.4,13.3,9.1,.524,18.5,38.9,.246
63,Cornell,13,10,3,.769,2.55,-2.12,,,,,3,0,,5,3,,1095,1018,,74.9,104.5,.307,.436,.535,49.6,51.1,11.0,9.6,.520,16.3,31.6,.186
64,Creighton,14,10,4,.714,20.50,5.64,,1,2,,6,1,,3,2,,1140,932,,67.8,97.4,.139,.279,.474,43.9,37.4,10.0,7.8,.453,9.7,23.9,.104
65,Dartmouth,13,4,9,.308,-14.33,-2.60,,,,,4,2,,0,7,,800,882,,67.6,100.3,.211,.381,.518,50.2,46.1,10.7,10.0,.496,14.0,22.9,.147
66,Davidson,14,10,4,.714,3.12,1.12,,0,1,,7,1,,1,2,,1006,924,,65.8,100.2,.255,.430,.522,49.0,54.4,8.8,9.0,.501,15.5,26.3,.170
67,Dayton,13,11,2,.846,14.18,5.02,,1,0,,6,0,,2,1,,965,846,,63.4,102.5,.212,.355,.500,49.8,51.6,9.1,9.9,.475,13.9,32.1,.152
